ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20151229RUS,2015-12-29,Russia,"Gunmen opened fire on a group of local residents who were visiting a viewing platform at the fortress in Derbent, Dagestan, southern Russia, killing one and injuring 11. ISIL claims responsibility.[202]","http://www.bbc.com/news/world-europe-35205165
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://www.rt.com/news/327583-responsibility-dagestan-fortress-attack/
http://uk.reuters.com/article/uk-russia-dagestan-attack-idUKKBN0UD0HC20151230",Shooting,IS,TRUE,Insurgency in the North Caucasus,OFFICIAL,FALSE,1,12,Unkown,Unkown,0,0,ORGANIZED,Firearms,Shooting,,,GROUP
20151228AFG,2015-12-28,Afghanistan,A Taliban suicide bomber killed at least one person and wounded 33 in an attack on a road near a school close to Kabul International Airport.[199],"http://www.reuters.com/article/us-afghanistan-blast-idUSKBN0UB07M20151228
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Suicide Bombing,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,2,35,Unkown,18,0,0,ORGANIZED,Bomb,Suicide Car Bombing,,,ALONE
20151228NIG,2015-12-28,Nigeria,"14 female suicide bombers aged 12–18 attempted to simultaneously attack the city of Maiduguri. Seven of the bombers were shot dead by Nigerian forces while three managed to escape and detonate themselves in Baderi general area and near a Mosque, killing 26 people and wounding another 85. One of the surviving attackers was apprehended.[255]","https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
http://dailypost.ng/2015/12/29/boko-haram-26-killed-85-injured-as-14-suicide-bombers-attack-maiduguri/",Suicide Bombing,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,FALSE,36,121,11,11,0,0,ORGANIZED,Bomb,Suicide Bombing,,,GROUP
2011225NIG,2015-12-25,Nigeria,"Boko Haram gunmen raided Kimba village in northern Nigeria, opening fire on residents and torching their homes. 14+ killed.[197][198]","http://www.telegraph.co.uk/news/worldnews/africaandindianocean/nigeria/12070317/At-least-14-killed-in-Boko-Haram-Christmas-day-gun-attack-in-Nigeria.html        
https://www.yahoo.com/news/boko-haram-kills-least-14-christmas-day-attack-211939980.html?ref=gs
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://www.theguardian.com/world/2015/dec/26/boko-haram-kills-at-least-14-in-christmas-day-attack-in-nigeria",Raid,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,FALSE,14+,14+,Unknown,Unknown,The whole village?,0,ORGANIZED,"Firearms, Fire","Shooting, Burning ",,,GROUP
20151221AFG,2015-12-21,Afghanistan,"A suicide bomber on a motorcycle killed six and wounded three in Kabul, Afghanistan near Bagram Airfield.[196]","https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://www.yahoo.com/news/suicide-bomber-kills-five-attack-u-afghan-patrol-111225827.html?ref=gs",Suicide Bombing,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,7,13,0,0,0,0,ORGANIZED,Bomb,Suicide Motorbike Bombing,,,ALONE
20151213NIG,2015-12-13,Nigeria,"Boko Haram Islamists, at least some using machetes, attacked residents of the villages of Warwara, Mangari, and Bura-Shika. 30 killed and 20 injured[195]","https://www.yahoo.com/news/30-dead-boko-haram-attack-three-nigeria-villages-220803427.html?ref=gs
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Raid,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,FALSE,30,50,Unknown,Unknown,,0,ORGANIZED,"Machete, Fire","Melee Attacks, Burning",,,GROUP
20151212SYR,2015-12-12,Syria,"Islamists detonated a car bomb near an hospital in central Homs. 16 killed, 54 injured.[193]","http://www.express.co.uk/news/world/627017/ISIS-militant-blows-himself-killing-rescuers-hospital-attack-victims-suicide-bomber
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Suicide Bombing,IS,TRUE,Syrian Civil War,OFFICIAL,TRUE,25,96+,Unknown,Unknown,0,0,ORGANIZED,"Bomb, Explosive Belt",Car bomb and suicide explosive belt,,,ALONE
20151212IRA,2015-12-12,Iraq,"A millitant detonated his explosives in a truck at an Iraqi position near the Saudi border. 6 dead, 14 injured.[194]","https://www.yahoo.com/news/suicide-bomber-kills-six-iraq-saudi-border-officials-091553406.html?ref=gs
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
http://tribune.com.pk/story/1008798/suicide-bomber-kills-six-on-iraq-saudi-border/
http://www.reuters.com/article/us-mideast-crisis-iraq-attack-idUSKBN0TV0E320151212",Suicide Bombing,IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,7+,21+,0,0,0,0,ORGANIZED,Car Bomb,Suicide car bomb,,,ALONE 
20151211AFG,2015-12-11,"Afghanistan, Spain","In the 2015 Spanish Embassy attack in Kabul, Taliban militants detonated a car bomb and stormed a guesthouse near the Spanish embassy. 6 dead, several injured.[191]","https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://en.wikipedia.org/wiki/2015_Spanish_Embassy_attack_in_Kabul
http://www.bbc.com/news/world-asia-35075184
http://www.reuters.com/article/us-afghanistan-blast-idUSKBN0TV03N20151212
http://america.aljazeera.com/articles/2015/12/11/taliban-claims-car-bomb-attack-near-spanish-embassy-in-kabul.html
http://www.thelocal.es/20151211/spanish-embassy-in-kabul-under-attack
http://www.businessinsider.com/report-spains-embassy-in-afghanistan-is-under-attack-2015-12","Car bombing, raid",Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,9,16+,Unknown,Unknown,0,0,ORGANIZED,"Car Bomb, Firearms",Car bomb and raid,,,GROUP
20151211SYR,2015-12-11,Syria,In the Tell Tamer bombings three truck bombs by ISIL killed up to 60 people and injured more than 80 in the town of Tell Tamer.[192],"http://www.reuters.com/article/us-mideast-crisis-syria-northeast-idUSKBN0TU0NS20151211
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
https://en.wikipedia.org/wiki/Tell_Tamer_bombings
https://www.rt.com/news/325568-terror-attack-telltamer-syria/
https://www.morningstaronline.co.uk/a-56c2-Syrian-war-Death-toll-from-Isis-bombings-hits-60#.V6gYDGXEvFI",Car bombing,IS,TRUE,Syrian Civil War,OFFICIAL,TRUE,60,140,Unknown,Unknown,0,0,ORGANIZED,Truck Bomb,Suicide car bomb,,,GROUP
2015120IRA,2015-12-9,Iraq,A suicide bomber detonated his explosives in the doorway of a Shiite mosque. 11+ dead 20 injured.[190],"https://www.yahoo.com/news/suicide-attack-shiite-mosque-baghdad-kills-11-114336573.html?ref=gs
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Suicide Bombing,IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,11+,31+,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide bomb,,,ALONE
20151208AFG,2015-12-8,Afghanistan,"In the 2015 Kandahar Airport attacks several Taliban members attacked the Kandahar Airport and surrounding area. 70+ killed, 35 injured.[187][188]","http://www.aljazeera.com/news/2015/12/taliban-kills-scores-ongoing-kandahar-airport-attack-151209153246413.html               
http://www.bbc.com/news/world-asia-35043938
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/2015_Kandahar_Airport_bombing
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015","Suicide bombing, Shotting",Taliban,TRUE,Iraqi Civil War,OFFICIAL,TRUE,61+,97+,1+,1+,0,0,ORGANIZED,"Bomb, Firearms","Suicide bomb, shooting",,,GROUP
20151208EGY,2015-12-8,Egypt,An explosive device by Islamists targeting a military convoy went off in Rafah. 4 dead 4 injured.[189],"http://www.upi.com/Top_News/World-News/2015/12/08/Bomb-attack-kills-four-Egyptian-security-personnel-in-North-Sinai/4021449622446/
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Bombing,IS,TRUE,Sinai Insurgency,OFFICIAL,TRUE,4,8,0,0,0,0,ORGANIZED,Roadside Bomb,Roadside bomb,,,GROUP
20151206YEM,2015-12-6,Yemen,"The governor of the southern port city of Aden in Yemen, Jaafar Mohammed Saad, was killed in a car bomb attack. The assassination was claimed by ISIL.[186]","https://www.theguardian.com/world/2015/dec/06/governor-of-aden-in-yemen-killed-in-explosion-say-officials
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015
http://bigstory.ap.org/article/20326c7d4fe84213b07dfe8713520922/officials-blast-kills-governor-yemens-aden-6-guards",Car bombing,IS,TRUE,Yemeni Civil War,OFFICIAL,TRUE,7,7,0,0,0,0,ORGANIZED,Car Bomb,Car bomb,,,GROUP
20151205CHA,2015-12-5,Chad,"Four female suicide bombers from the militant Islamist group Boko Haram attacked the Chadian island of Koulfoua on Lake Chad, killing at least 15 people and injuring 130.[185]","http://www.reuters.com/article/us-nigeria-violence-chad-idUSKBN0TO0FM20151205#qXbaF6WM1guP5raB.97
http://www.bloomberg.com/news/articles/2015-12-05/lake-chad-triple-suicide-attacks-kill-30-people-injure-80
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Suicide bombing,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,TRUE,19,130,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide bombs,,,GROUP
20151202USA,2015-12-2,United States,"In the 2015 San Bernardino attack, married couple Rizwan Farook and Tashfeen Malik shot and killed 14 people and injured 22 others in a killing spree that the FBI was investigating as ""act of terrorism"".[183][184]","http://edition.cnn.com/2015/12/04/us/san-bernardino-shooting/index.html                                           
http://www.nytimes.com/2015/12/05/us/tashfeen-malik-islamic-state.html?_r=1
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/2015_San_Bernardino_attack
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Mass shooting,IS,FALSE,Self Radicalized Attack,INSPIRED,FALSE,14,35,0,0,,,,Firearms,Shooting,,,GROUP
20151128EGY,2015-11-28,Egypt,Islamist gunmen killed four security personnel in an attack at a police checkpoint in Saqqara. 4 dead[181],http://www.reuters.com/article/us-egypt-gunmen-idUSKBN0TH04U20151128#ur1Zegle8cKoym54.97,Shooting ,IS,TRUE,IS,OFFICIAL,TRUE,4,4,0,0,0,0,ORGANIZED,Machine Guns,Drive by Shooting,TRUE,,GROUP
20151128MAL,2015-11-28,Mali,"Militants fired rockets on a MINUSMA peacekeeping forces base in northern Mali. Ansar Dine claimed responsibility. 3 dead, 20 wounded.[182]",http://www.reuters.com/article/us-mali-attacks-idUSKBN0TH03M20151128,Rocket Attack,Ansar Dine,TRUE,West African Insurgency,OFFICIAL,TRUE,4,24,0,0,0,0,ORGANIZED,"Rockets, Firearms","Rockets Fired, Shooting",TRUE,,GROUP
21051127NIG,2015-11-27,Nigeria,21 killed in Boko Haram suicide attack on a Shia procession in Nigeria[180],https://www.rt.com/news/323717-nigeria-boko-haram-suicide-blast/?utm_source=browser&utm_medium=aplication_chrome&utm_campaign=chrome,Suicide bomb,Boko haram,TRUE,Boko Haram Insurgency ,OFFICIAL,FALSE,22,88,0,0,0,0,organized,Bomb,Suicide Bomb,TRUE,,GROUP 
20151125NGE,2015-11-25,Niger,"Boko Haram invades a village and shoots indiscriminately residents and also fire rockets, killing 18.[179]",http://www.nbcnews.com/news/world/niger-says-boko-haram-gunmen-kill-18-border-village-n470186                                              http://www.cnn.com/2015/11/24/africa/tunisia-explosion/index.html,Mass Shooting/Raid,Boko haram,TRUE,Boko Haram Insurgency ,OFFICIAL,TRUE,18,29,0,1,0,0,organized,"Knife, rockets, fire arms","Shooting, Raid on Village",TRUE,,GROUP 
20151124TUN,2015-11-24,Tunisia,"At least 12 people were killed in a bus bombing in Tunis, the capital of Tunisia. ISIL claimed responsibility for this attack that targeted a bus transporting members of the Presidential Guard.[177]",http://www.mirror.co.uk/news/world-news/tunisia-bus-explosion-least-two-6892399                                                 http://www.cnn.com/2015/11/24/africa/tunisia-explosion/index.html                                          http://www.independent.co.uk/news/world/africa/tunisia-bombing-bus-explodes-near-rcd-party-headquarters-a6747166.html,Suicide bomb,IS,TRUE,Insurgency in the Maghreb,OFFICIAL,TRUE,13,29,0,0,0,0,organized,Bomb,Suicide Bomb,TRUE,,ALONE
20151124EGY,2015-11-24,Egypt,"In the November 2015 Sinai attack which occurred a day after the second round of parliamentary elections closed, militants attack a hotel housing election judges in the provincial capital of al-Arish in Egypt's North Sinai. 7 dead, 10+ wounded[178]","http://www.aljazeera.com/news/2015/11/isil-claims-deadly-attack-egypt-sinai-151125053414593.html
https://en.wikipedia.org/wiki/2015_Arish_attack","Suicide bomb, Shooting",IS,TRUE,Sinai Insurgency,OFFICIAL,TRUE,9+,19+,Unknown,Unknown,0,0,organized,"Suicide Belt Bomb, Firearms","Suicide bomb, Car bomb, Shooting",,,GROUP 
20151122NIG,2015-11-22,Nigeria,8 people among women and children demise when a female suicide bomber is reduced to pulp.[176],"https://www.yahoo.com/news/eight-killed-ne-nigeria-suicide-bombing-relief-agency-191507966.html?ref=gs
http://www.cnn.com/2015/11/22/africa/nigeria-violence/",Suicide bomb,Boko haram,FALSE,Islamist Insurgency in West Sinai,OFFICIAL,FALSE,8,15,1+,1+,0,0,ORGANIZED,Bomb,Suicide bomb,,,ALONE
20151121CAM,2015-11-21,Cameroon,Suicide bombers affiliated with Boko Haram kill at least 10 in northern Cameroon.[175],"http://america.aljazeera.com/articles/2015/11/21/suicide-attack-in-cameroon-kills-at-least-10.html
http://af.reuters.com/article/cameroonNews/idAFL8N13G0FE20151121",Suicide bomb,Boko haram,FALSE,Boko Haram Insurgency ,OFFICIAL,FALSE,10,22+,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide bomb,,,GROUP 
20151120MAL,2015-11-20,Mali,"Bamako hotel attack. Gunmen yelling ""Allahu Akbar"" storm a hotel in Bamako, Mali. At least 19 killed, and more than 160 were taken hostage.","http://www.bbc.com/news/world-africa-34879955
https://en.wikipedia.org/wiki/2015_Bamako_hotel_attack",Shooting,Al-Mourabitoun and Al-Qaeda in the Islamic Maghreb,TRUE,Northern Mali Conflict,OFFICIAL,TRUE,27,170,0,0,0,0,ORGANIZED,Firearms,"Shooting, Hostage Taking",,,GROUP 
20151120IRA,2015-11-20,Iraq,"A Suicide bomber detonates inside a Shiite mosque killing 10 people, other bombings in the area killed another 5 people.[174]","http://english.alarabiya.net/en/News/middle-east/2015/11/20/Bomb-attacks-near-mosque-south-of-Baghdad-kill-9.html
http://www.ibtimes.com/islamic-state-group-claims-responsibility-deadly-baghdad-mosque-attack-2195084
http://bigstory.ap.org/article/c4846e51bd8d47a08b8f418fe9ac162c/suicide-blast-bombing-strike-baghdad-shiite-mosque-kill-10","Roadside bomb, Suicide bomb",IS,FALSE,Iraqi Civil War,OFFICIAL,TRUE,10,47,Unknown,Unknown,0,0,ORGANIZED,"Roadside bomb, Suicide bomb","Roadside bomb, Suicide bomb",,,ALONE
20151118BOS,2015-11-18,Bosnia and Herzegovina ,A lone wolf Islamist killed two soldiers and injured civilians in Sarajevo. 3 dead 5 wounded.[172],"http://www.bbc.com/news/world-europe-34866890
https://en.wikipedia.org/wiki/2015_Sarajevo_shooting","Shooting, Suicide bomb",Lone wolf associated with the Salafi movement,FALSE,NONE,INSPIRED,TRUE,3,8,0,Unknown,0,0,,"Firearms, Bomb","Shooting, Suicide bomb",,,ALONE
20151118NIG,2015-11-18,Nigeria,Two explosions rock a phone market in Kano killing at least 15 people and injuring more than 100. Boko Haram is suspected to be behind it.[173],"http://america.aljazeera.com/articles/2015/11/18/suicide-bombers-strike-nigeria-market.html
http://www.bbc.com/news/world-africa-34852971
http://www.reuters.com/article/us-nigeria-violence-kano-idUSKCN0T72H120151118
https://www.rt.com/news/322596-nigeria-blast-kano-market/",Suicide Bombing,Boko Haram,FALSE,Boko Haram Insurgency,OFFICIAL,FALSE,17+,117+,1+,1+,0,0,ORGANIZED,Bomb,Suicide Bomb,,,GROUP 
20151117PHI,2015-11-17,"Philippines, Malaysia",A Malaysian national is beheaded by Abu Sayyaf in the southern Philippines.[170],"http://www.cnbc.com/2015/11/17/philippines-verifying-reported-beheading-of-malaysian.html
http://www.bbc.com/news/world-asia-34853883
",Melee Attack,Abu Sayyaf,TRUE,Phillipines Conflict,OFFICIAL,FALSE,1,1,0,0,0,0,ORGANIZED,Unknown,Beheading,TRUE,,GROUP 
20151117NIG,2015-11-17,Nigeria,A suicide attack at a market in Yola killed more than 30 people and hospitalised more than 80. The attack is thought to be the work of Boko Haram.[171],"http://www.bbc.com/news/world-africa-34852971
https://www.yahoo.com/news/suicide-bombers-kill-3-northern-nigerian-city-kano-172903636.html?ref=gs",Suicide Bomb,Boko Haram,Uknown,Boko Haram Insurgency,OFFICIAL,FALSE,30+,114,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb,,,GROUP
20151113FRA,2015-11-13,France,"A series of terrorist attacks in Paris kill 137, and wound 368. They involved a series of coordinated attacks which consisted of mass shootings and suicide bombings. This incident was the most fatal event on French soil since World War II.[168]","http://www.cnn.com/2015/11/13/world/paris-shooting/
https://en.wikipedia.org/wiki/November_2015_Paris_attacks","Shooting, Bomb",IS,TRUE,IS,OFFICIAL,FALSE,137,505,Unknown,Unknown,0,0,ORGANIZED,"Firearms, Bomb","Shooting, Bombing",TRUE,,GROUP 
20151113IRA,2015-11-13,Iraq,A Suicide bomber kills at least 21 at a Shia funeral.[169],"http://america.aljazeera.com/articles/2015/11/13/suicide-bomber-kills-at-least-21-in-baghdad.html
https://www.yahoo.com/news/iraq-suicide-bomber-kills-12-shiite-funeral-baghdad-113657295.html?ref=gs",Suicide Bomb,IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,22,68,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb,,,ALONE
20151112LEB,2015-11-12,Lebanon,Twin suicide bombings kill 42 people in the capital city of Beirut.[167],"http://www.bbc.com/news/world-middle-east-34805466
https://en.wikipedia.org/wiki/2015_Beirut_bombings
http://uk.reuters.com/article/uk-syria-crisis-hezbollah-blast-idUKKCN0T121R20151112",Suicide Bomb,IS,TRUE,Syrian Civil War spillover in Lebanon,OFFICIAL,TRUE,43+,283+,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb,TRUE?,,GROUP 
20151031EGY,2015-10-31,Egypt Russia,"Bomb on board a Russian jet brings it down in Sinai, bound for St Petersburg, killing 224 people.[166]","http://www.cnn.com/2015/11/07/middleeast/russian-plane-crash-egypt-sinai/index.html
http://www.telegraph.co.uk/news/worldnews/europe/russia/11981239/Russian-plane-crash-sharm-el-sheikh-stranded-British-tourists-missile-latest-updates.html",Bombing,Wilayah Saynah (IS),TRUE,Sinai Insurgency and Syrian Civil War,OFFICIAL,FALSE (Attack on Non Muslim Majority Nation),224,224,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb Plane Crash,TRUE?,,GROUP
201510NGE,2015-10-28,Niger,"Boko Haram militants attack a village in Niger, gunning down 13 people and allegedly burning down houses and cars during the rampage.[165]",http://america.aljazeera.com/articles/2015/10/28/suspected-boko-haram-fighters-kill-13-people-in-niger.html,Raid,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,TRUE ,13,16,Unknown,Unknown,?,0,ORGANIZED,"Firearms,Fire","Shooting, Raid on Village",TRUE?,,GROUP
20151023NIG,2015-10-23,Nigeria,"Two separate mosques were attacked by suicide bombers, killing 42 in Nigeria.[164]",http://america.aljazeera.com/articles/2015/10/23/blasts-kill-dozens-in-nigeria.html,Suicide Bomb,Boko Haram,FALSE,Boko Haram Insurgency,OFFICIAL,FALSE,44,144+,,,,,,Bomb,Suicide Bombing,,,GROUP
20151022NIG,2015-10-22,Nigeria,"20 people were killed in the northeast state of Borno, Nigeria in a Boko Haram attack.[163]",http://www.nation.co.ke/news/africa/Boko-Haram-kill-20-in-NE-Nigeria/-/1066/2924770/-/snojfaz/-/index.html,Raid,Boko Haram,TRUE,Boko Haram Insurgency,OFFICIAL,FALSE,20,20,Unknown,Unknown,whole village,0,ORGANIZED,"Firearms, Fire","Shooting, Raid on Village",TRUE?,,GROUP
2011011AFG,2015-10-11,Afghanistan,"A bomb attack in Kabul, targeting a British military convoy injured 7 Afghan civilians. The attack has been claimed by the Taliban.[162]","http://www.bbc.com/news/world-asia-34498998
http://www.independent.co.uk/news/world/asia/uk-military-convoy-attacked-by-taliban-in-kabul-a6689561.html
https://www.theguardian.com/world/2015/oct/11/kabul-blast-targets-foreign-troop-convoy",Bomb,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,0,7,Unknown,1,0,0,ORGANIZED,Bomb,Bomb,,,GROUP
20151010TUR,2015-10-10,Turkey,In the 2015 Ankara bombings 102 people were killed and over 400 others injured. According to two high ranked sources in the Turkish security forces ISIL is most likely responsible.[159][160],"http://www.bbc.com/news/world-europe-34495161                      
http://in.reuters.com/article/turkey-explosion-islamic-state-idINKCN0S50JV20151011
https://en.wikipedia.org/wiki/2015_Ankara_bombings",Suicide Bomb,IS,FALSE,Turkey-ISIL Conflict,Unknown,TRUE,128,618,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bombing,,,GROUP
20151010CHA,2015-10-10,Chad,Multiple suicide bombings in Chad killed 33 people and injured 51. The attack is believed to be the work of Boko Haram.[161],"http://www.reuters.com/article/us-nigeria-violence-chad-idUSKCN0S40OJ20151010
https://www.yahoo.com/news/suicide-bombings-chad-market-refugee-camp-kill-38-175003549.html?ref=gs",Suicide Bomb,Boko Haram,FALSE,Boko Haram Insurgency,OFFICIAL,TRUE,38+,88+,2,16,0,0,ORGANIZED,Bomb,Suicide Bombing,,,GROUP
20151007SOM,2015-10-7,Somalia,"Militants of Al-Shabaab ambushed and killed the nephew of Somalia's president, Hassan Sheikh Mohamud. 2 dead.[158]","http://www.telegraph.co.uk/news/worldnews/africaandindianocean/somalia/11917200/Islamist-al-Shabaab-gunmen-kill-nephew-of-Somalian-president-Hassan-Sheikh-Mohamoud.html
http://www.reuters.com/article/us-somalia-attacks-idUSKCN0S11C520151007
http://www.bbc.com/news/world-africa-34465949",Ambush Shooting,Al-Shabaab,TRUE,East African Violence,OFFICIAL,TRUE,2,2,0,0,0,0,ORGANIZED,Firearms,"Ambush, Shooting",TRUE?,,GROUP
20151005AFG,2015-10-5,Afghanistan,"Two suicide bombings in Kabul targeted an Afghan intelligence centre. 3 people were injured in the attack, claimed by the Taliban.[156][157]","https://www.rt.com/news/317700-kabul-explosion-gunfire-reports/                  
http://www.reuters.com/article/us-afghanistan-attack-kabul-idUSKCN0RZ1UB20151005",Suicide Bomb,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,2,5+,0,Unknown,0,0,ORGANIZED,"Bomb, Possilbe Firearms","Suicide Bombing, Possible Shooting",TRUE?,,GROUP
20151003BAN,2015-10-3,Bangladesh,A Japanese man was shot and killed in a similar fashion to an Italian aid worker killed 4 days earlier. The attack has been claimed by ISIL.[154],"http://uk.reuters.com/article/uk-bangladesh-japan-killings-idUKKCN0RX06720151003
http://www.japantimes.co.jp/news/2015/12/09/national/crime-legal/suspected-bangladesh-militant-confesses-murder-japanese-farmer/
https://www.theguardian.com/world/2015/oct/03/second-foreigner-killed-in-bangladesh
http://www.aljazeera.com/news/2015/10/masked-gunmen-kill-japanese-national-bangladesh-151003192857965.html",Shooting,IS,TRUE,IS ,OFFICIAL,TRUE,1,1,0,0,0,0,ORGANIZED,Firearms,Motorcyle drive by shooting,TRUE?,,GROUP
20151003IRA,2015-10-3,Iraq,"In Baghdad, two suicide bombings in Shiite majority neighbourhoods kill at least 18 people and injure 61. Attack claimed by ISIL.[155]",https://www.yahoo.com/news/iraqi-officials-suicide-bomber-baghdad-kills-10-152727737.html?ref=gs,Suicide Bomb,IS,TRUE,IS,OFFICIAL,TRUE,20,81,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb,TRUE?,,GROUP
20151002AUS,2015-10-2,Australia,"2015 Parramatta shooting. A NSW Police Force civilian employee was shot dead outside NSW Police Force headquarters on Charles Street, Parramatta, Sydney by a 15-year old lone gunman. The gunman then engaged with NSW Police Special Constables in a shootout before being killed, 2 dead.[153]","http://www.telegraph.co.uk/news/worldnews/australiaandthepacific/australia/11909115/Sydney-shooting-carried-out-by-15-year-old-terrorist-say-police.html
https://en.wikipedia.org/wiki/2015_Parramatta_shooting
http://www.bbc.com/news/world-australia-34431926
http://www.abc.net.au/news/2015-12-10/two-arrested-in-sydney-counter-terrorism-raids/7016270",Shooting,None,TRUE,Terrorism in Australia,INSPIRED,FALSE,2,2,1,1,0,0,,Firearms,Shooting,,,ALONE
20151010NIG,2015-10-1,Nigeria,Multiple suicide bombings by Boko Haram in North-East Nigeria killed 14 people (including the bombers) and injured 39.[150],"http://www.enca.com/africa/least-10-killed-suicide-attacks-ne-nigeria
http://www.aljazeera.com/news/2015/10/multiple-suicide-blasts-rock-nigeria-maiduguri-151002101753985.html",Suicide bombing,Boko Haram,Unknown,Boko Haram Insurgency,OFFICIAL,FALSE,14+,53+,Unknown,Unknown,0,0,ORGANIZED,Bomb,Suicide Bomb,,,GROUP
20151001ISR,2015-10-1,Israel,"Gunmen opened fire on a car near Nablus on the northern West Bank, killing a man and woman. 4 of their 6 children were also in the car and witnessed the attack, but were uninjured. The attackers have been praised by Hamas.[151][152]","http://www.timesofisrael.com/two-seriously-wounded-in-west-bank-terror-attack/                      
http://www.haaretz.com/israel-news/1.678511
http://www.jpost.com/Arab-Israeli-Conflict/Security-forces-arrest-Palestinian-terror-cell-for-double-murder-419999",Shooting,Hamas,TRUE,Israeli-Palestinian Conflict,OFFICIAL,FALSE,2,0,0,0,0,0,ORGANIZED,Firearms,Shooting,,,GROUP
20150929BAN,2015-09-29,Bangladesh,Three men on a motorbike shot and killed an Italian aid worker. The attack has been claimed by ISIL.[149],"http://www.bbc.com/news/world-asia-34389692
https://www.theguardian.com/world/2016/jun/28/bangladesh-charges-seven-over-italian-aid-workers",Shooting,IS,TRUE,IS,OFFICIAL,TRUE,1,0,0,0,0,0,ORGANIZED,Firearms,Motorcyle drive by shooting,,,GROUP
